Escola,Alunos
EMEIEF BOA ESPERANCA,30
EEEF EURIDICE LOPES PEDROSO,147
EMEIEF IZIDORO STEDILE,30
EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA,66
EMEIEF MARIA DE SOUZA PEGO,21
